Book_book_name,Book_rating,Book_cover,Book_cover_url,Author,Translator,Publisher,Year,Price
名侦探的诅咒,7.1,https://img1.doubanio.com/view/subject/l/public/s4464968.jpg,https://book.douban.com/subject/4903440/,东野圭吾 , 岳远坤 ,南海出版公司 ,2010,20
沉睡的森林,6.9,https://img1.doubanio.com/view/subject/l/public/s11368489.jpg,https://book.douban.com/subject/10594783/,东野圭吾 , 郑琳 ,南海出版公司 ,2012,28
彷徨之刃,7.9,https://img1.doubanio.com/view/subject/l/public/s28035637.jpg,https://book.douban.com/subject/26298572/,东野圭吾 , 刘珮瑄 ,南海出版公司 ,2015,39.5
回廊亭杀人事件,6.7,https://img3.doubanio.com/view/subject/l/public/s6499911.jpg,https://book.douban.com/subject/4723740/,东野圭吾 , 陈祖懿 ,华文出版社 ,2010,25
怪笑小说,7.9,https://img1.doubanio.com/view/subject/l/public/s4579607.jpg,https://book.douban.com/subject/5380266/,东野圭吾 , 李盈春 ,南海出版公司 ,2011,20
白夜行,9,https://img3.doubanio.com/view/subject/l/public/s30014645.jpg,https://book.douban.com/subject/27112607/,东野圭吾 , 刘姿君 ,南海出版公司 ,2017,59.6
秘密,7.7,https://img3.doubanio.com/view/subject/l/public/s27185093.jpg,https://book.douban.com/subject/25720041/,东野圭吾 , 章程 ,化学工业出版社 ,2014,29.8
秘密,8,https://img3.doubanio.com/view/subject/l/public/s30014644.jpg,https://book.douban.com/subject/27115970/,东野圭吾 , 连子心 ,南海出版公司 ,2017,45
预知梦,7,https://img1.doubanio.com/view/subject/l/public/s5676768.jpg,https://book.douban.com/subject/2242461/,东野圭吾 , 赵博 ,海南出版社 ,2007,18
只差一个谎言,7.1,https://img3.doubanio.com/view/subject/l/public/s26099405.jpg,https://book.douban.com/subject/21347638/,东野圭吾 , 黄真 ,南海出版公司 ,2013,25
黎明之街,7.2,https://img3.doubanio.com/view/subject/l/public/s8871926.jpg,https://book.douban.com/subject/7067983/,东野圭吾 , 李超楠 ,南海出版公司 ,2012,28
杀人之门,7.5,https://img3.doubanio.com/view/subject/l/public/s4661770.jpg,https://book.douban.com/subject/5416915/,东野圭吾 , 张智渊 ,南海出版公司 ,2011,29.8
神探伽利略,7,https://img3.doubanio.com/view/subject/l/public/s20799003.jpg,https://book.douban.com/subject/19951185/,东野圭吾 , 袁斌 ,化学工业出版社 ,2013,24.8
假面前夜,6.7,https://img3.doubanio.com/view/subject/l/public/s28462052.jpg,https://book.douban.com/subject/26703641/,东野圭吾 , 宋扬 ,南海出版公司 ,2016,39.8
疾风回旋曲,5.6,https://img1.doubanio.com/view/subject/l/public/s27270858.jpg,https://book.douban.com/subject/25841847/,东野圭吾 , 苏友友 ,现代出版社 ,2014,33
白金数据,7.1,https://img3.doubanio.com/view/subject/l/public/s29645762.jpg,https://book.douban.com/subject/27173553/,东野圭吾 , 王蕴洁 ,北京联合出版公司 ,2018,42
时生,7.6,https://img3.doubanio.com/view/subject/l/public/s28112483.jpg,https://book.douban.com/subject/26387514/,东野圭吾 , 徐建雄 ,南海出版公司 ,2015,39.5
麒麟之翼 ,7.8,https://img3.doubanio.com/view/subject/l/public/s28112461.jpg,https://book.douban.com/subject/26387513/,东野圭吾 , 田秀娟 ,南海出版公司 ,2015,39.5
湖边凶杀案,7.2,https://img3.doubanio.com/view/subject/l/public/s2748930.jpg,https://book.douban.com/subject/2242467/,东野圭吾 , 赵博 ,海南出版社 ,2007,18
十一字杀人,6.7,https://img3.doubanio.com/view/subject/l/public/s6131700.jpg,https://book.douban.com/subject/4191587/,东野圭吾 , 叶娉 ,上海译文出版社 ,2010,20
白马山庄杀人事件,6.6,https://img3.doubanio.com/view/subject/l/public/s4664645.jpg,https://book.douban.com/subject/5326850/,东野圭吾 , 袁斌 ,人民文学出版社 ,2011,28
没有凶手的杀人夜,6.9,https://img1.doubanio.com/view/subject/l/public/s4460848.jpg,https://book.douban.com/subject/4903190/,东野圭吾 , 袁斌 ,人民文学出版社 ,2010,25
东野圭吾的最后致意,7,https://img3.doubanio.com/view/subject/l/public/s24980196.jpg,https://book.douban.com/subject/20507419/,东野圭吾 , 潘璐 ,新星出版社 ,2013,28
悲剧人偶,7.1,https://img1.doubanio.com/view/subject/l/public/s30014627.jpg,https://book.douban.com/subject/30210694/,东野圭吾 , 杨婉蘅 ,北京十月文艺出版社 ,2018,49.5
我的晃荡的青春,6.9,https://img1.doubanio.com/view/subject/l/public/s28265889.jpg,https://book.douban.com/subject/26576518/,东野圭吾 , 代珂 ,南海出版公司 ,2015,35
濒死之眼,6.3,https://img3.doubanio.com/view/subject/l/public/s6148301.jpg,https://book.douban.com/subject/4286244/,东野圭吾 , 匡匡 ,上海译文出版社 ,2010,22
假面饭店,7.1,https://img3.doubanio.com/view/subject/l/public/s28968023.jpg,https://book.douban.com/subject/26853726/,东野圭吾 , 宋扬 ,南海出版公司 ,2016,39.8
美丽的凶器,6.5,https://img3.doubanio.com/view/subject/l/public/s6881741.jpg,https://book.douban.com/subject/6429267/,东野圭吾 , 花超 ,南海出版公司 ,2011,22
浪花少年侦探团,6.9,https://img1.doubanio.com/view/subject/l/public/s29234529.jpg,https://book.douban.com/subject/26935572/,东野圭吾 , 张舟 ,南海出版公司 ,2017,35
信,7.9,https://img1.doubanio.com/view/subject/l/public/s28006179.jpg,https://book.douban.com/subject/25956990/,东野圭吾 , 赵江 , 译林出版社 ,2014,28
危险的维纳斯,6.1,https://img1.doubanio.com/view/subject/l/public/s29963217.jpg,https://book.douban.com/subject/30380271/,东野圭吾 , 星野空 ,北京联合出版公司 ,2018,45
盛夏方程式,7.9,https://img3.doubanio.com/view/subject/l/public/s32305296.jpg,https://book.douban.com/subject/30317420/,东野圭吾 , 蓝佳 ,南海出版公司 ,2018,59
布鲁特斯的心脏,7,https://img1.doubanio.com/view/subject/l/public/s24514538.jpg,https://book.douban.com/subject/20432186/,东野圭吾 , 赵仲明 ,南海出版公司 ,2013,32
空中杀人现场,6.1,https://img1.doubanio.com/view/subject/l/public/s26316699.jpg,https://book.douban.com/subject/23010385/,东野圭吾 , 杨婉蘅 ,南海出版公司 ,2013,25
圣女的救济,7.8,https://img3.doubanio.com/view/subject/l/public/s7646755.jpg,https://book.douban.com/subject/6784976/,东野圭吾 , 袁斌 , 译林出版社 ,2011,25
大雪中的山庄,7.2,https://img3.doubanio.com/view/subject/l/public/s29448063.jpg,https://book.douban.com/subject/27037148/,东野圭吾 , 李盈春 ,北京十月文艺出版社 ,2017,35
歪笑小说,7.4,https://img1.doubanio.com/view/subject/l/public/s28116538.jpg,https://book.douban.com/subject/26417643/,东野圭吾 , 王丽丽 ,南海出版公司 ,2015,32
麒麟之翼 ,7.6,https://img3.doubanio.com/view/subject/l/public/s26814725.jpg,https://book.douban.com/subject/24384165/,东野圭吾 , 田秀娟 ,南海出版公司 ,2013,33
风雪追击,5.9,https://img1.doubanio.com/view/subject/l/public/s29362779.jpg,https://book.douban.com/subject/26971148/,东野圭吾 , 赵文梅 ,现代出版社 ,2017,39.8
魔球,7.1,https://img3.doubanio.com/view/subject/l/public/s27887866.jpg,https://book.douban.com/subject/25779594/,东野圭吾 , 黄真 ,南海出版公司 ,2015,35
鸟人计划,6.7,https://img3.doubanio.com/view/subject/l/public/s6379400.jpg,https://book.douban.com/subject/5939295/,东野圭吾 , 星野空 ,南海出版公司 ,2011,25
恋爱的贡多拉,5.9,https://img1.doubanio.com/view/subject/l/public/s29449788.jpg,https://book.douban.com/subject/27007486/,东野圭吾 , 魏精彩 ,现代出版社 ,2017,38
以眨眼干杯,6.2,https://img3.doubanio.com/view/subject/l/public/s6799096.jpg,https://book.douban.com/subject/6314045/,东野圭吾 , 袁斌 ,化学工业出版社 ,2011,25
禁断的魔术,6.4,https://img1.doubanio.com/view/subject/l/public/s29910689.jpg,https://book.douban.com/subject/30317421/,东野圭吾 , 张北辰 ,南海出版公司 ,2019,49.5
谁杀了她,7.7,https://img3.doubanio.com/view/subject/l/public/s29860723.jpg,https://book.douban.com/subject/30210250/,东野圭吾 , 袁斌 ,北京十月文艺出版社 ,2018,49.5
禁忌魔术,7.1,https://img3.doubanio.com/view/subject/l/public/s27207786.jpg,https://book.douban.com/subject/25756926/,东野圭吾 , 叶娉 ,上海译文出版社 ,2014,38
